date,city,country,venue,details
06-12-2016,"Toronto, ON",Canada,Woodbine Park,Bestival Music Festival - with the Cure - shoplift
06-11-2016,"Chicago, IL",USA,UIC Pavilion,with the Cure - rabbit
06-10-2016,"Chicago, IL",USA,UIC Pavilion,with the Cure
06-09-2016,"Chicago, IL",USA,Lincoln Hall,prossy
06-08-2016,"Kansas City, KS",USA,Starlight Amphitheatre,with the Cure
06-07-2016,"St Paul, MN",USA,Xcel Energy Center,with the Cure
06-05-2016,"Denver, CO",USA,Fiddler's Green Amphitheater,with the Cure
06-03-2016,"Salt Lake City, UT",USA,Maverik Center,with the Cure
06-02-2016,"Boise, ID",USA,CenturyLink Arena,with the Cure
05-31-2016,"Vancouver, BC",Canada,Festival Lawn at Deer Lake Park,with the Cure
05-30-2016,"Portland, OR",USA,Doug Fir Lounge,don't move - shoplift - prossy - rabbit
05-29-2016,"George, WA",USA,the Gorge,with the Cure
05-28-2016,"Portland, OR",USA,Sunlight Supply Amphitheater,with the Cure
05-26-2016,"Mountain View, CA",USA,Shoreline Amphitheater,with the Cure - sheepdug - january - shoplift - rabbit
05-25-2016,"Los Angeles, CA",USA,Teragram Ballroom,downstairs - january - alphabet - drown - mooth - nil - car
05-24-2016,"Los Angeles, CA",USA,Hollywood Bowl,with the Cure - hit single - shoplift - badlands
05-23-2016,"Los Angeles, CA",USA,Hollywood Bowl,with the Cure - badlands
05-22-2016,"Los Angeles, CA",USA,Hollywood Bowl,with the Cure - sheepdug - badlands
05-20-2016,"Chula Vista, CA",USA,Sleep Train Amphitheater,with the Cure - badlands - sheepdug & january
05-19-2016,"Las Vegas, NV",USA,Chelsea Theater at the Cosmopolitan,with the Cure - sheepdug - january - badlands
05-17-2016,"El Paso, TX",USA,Don Haskins Center,with the Cure - photos
05-15-2016,"Dallas, TX",USA,American Airlines Center,with the Cure
05-14-2016,"Houston, TX",USA,Toyota Center,with the Cure - badlands - january - proper f
05-13-2016,"Austin, TX",USA,Frank Erwin Center,with the Cure - photos
05-11-2016,"New Orleans, LA",USA,UNO Lakefront Arena,with the Cure - video: entire set
05-10-2016,"New Orleans, LA",USA,UNO Lakefront Arena,with the Cure
04-02-2016,Glasgow,Scotland,SSE Hydro,with Chvrches - video: january - shoplift
12-12-2015,Glasgow,Scotland,Barrowlands,with Man of Moon - video: badlands (incomplete) - dead city - hit single (incomplete) - alphabet - sheepdug (incomplete) - car - shoplift - photos
12-10-2015,Manchester,England,Gorilla,with Man of Moon - video: sheepdug - review + photo
12-09-2015,Birmingham,England,O2 Academy,with Man of Moon - review + photos
11-17-2015,Madrid,Spain,La Riviera,with Editors - video: badlands - january - prossy - photos
11-16-2015,Barcelona,Spain,Sala Razzmatazz,with Editors - video: nil
11-13-2015,Strasbourg,France,La Laiterie,with Editors - video: badlands - photos
11-12-2015,Munich,Germany,Tonhalle Munich,with Editors - video: sheepdug
11-10-2015,Offenbach Am Main,Germany,Stadthalle Offenbach,with Editors - video: prossy
11-09-2015,Berlin,Germany,Columbiahalle,with Editors
11-08-2015,Hamburg,Germany,Mehr! Theatre Am Grossmark,with Editors - photos
11-07-2015,Hamburg,Germany,Molotow Bar,with Editors
11-05-2015,Rotterdam,Netherlands,Rotown,
11-04-2015,Amsterdam,Netherlands,Heineken Music Hall,with Editors
11-02-2015,Cologne,Germany,Palladium Köln,with Editors - photos + setlist
11-01-2015,Luxembourg,Luxembourg,Den Atelier,with Editors - video: january - prossy - sheepdug - rabbit
10-31-2015,Brussels,Belgium,Palais 12,with Editors - video: nil
10-29-2015,Lille,France,Le Splendid,with Editors - video: badlands - prossy - sheepdug
10-28-2015,Paris,France,Le Trianon,with Editors - video: shoplift - rabbit - photos
10-26-2015,London,England,Rough Trade Records,"In-store, Andy + James only - video: hit single - drown - prossy - shoplift - proper f - emily - car"
10-22-2015,Manchester,England,Club Academy,with Editors
10-21-2015,Cambridge,England,Cambridge Junction,with Editors *never forget
10-20-2015,Newcastle,England,O2 Newcastle,with Editors - photos - more photos
10-18-2015,Glasgow,Scotland,O2 Glasgow,with Editors - video: january - review + photo - photos - more photos
10-17-2015,Leeds,England,O2 Leeds,with Editors
10-16-2015,Birmingham,England,O2 Birmingham,with Editors
10-15-2015,Portsmouth,England,Portsmouth Pyramids,with Editors
10-13-2015,London,England,Hammersmith Apollo,with Editors - video: badlands - january - shoplift
10-12-2015,Bristol,England,Colston Hall,with Editors - review + setlist
08-29-2015,Dumfries & Galloway,Scotland,Drumlanrig Castle,Electric Fields Festival - Stripped back set at Skinny Magazine tent
08-10-2015,Edinburgh,Scotland,Pink Tent,Edinburgh Festival - with Turtle and Martha Ffion - mooth - prossy
07-18-2015,Suffolk,England,Henham Park,Latitude Festival
07-18-2015,Suffolk,England,Henham Park,Latitude Festival - Gigwise Session - video: pengweng
07-11-2015,Cheltenham,England,Upcote Farm,2000 Trees Festival - photos - more photos
07-10-2015,Balado,Scotland,King Tut's Wah Wah Hut Tent,T in the Park Festival - video: badlands
07-04-2015,Glasgow,Scotland,King Tut's,Acoustic session for T in the Park - video: january
07-03-2015,Glasgow,Scotland,Rage Music Studios,Rage Music Studio Session - video: car + sheepdug + january + interviews - photos
06-11-2015,Bergen,Norway,Magic Mirrors,Bergenfest
06-05-2015,Athens,Greece,Hellenic Cosmos Cultural Centre,Plisskën Festival - video: badlands - photos
05-03-2015,Belfast,Ireland,Voodoo,with Johnny Black - review + photos
05-02-2015,Dublin,Ireland,Whelans,review + photos - review + photo + setlist
05-01-2015,Limerick,Ireland,Dolans Pub,with Slow Riot
04-30-2015,Galway,Ireland,Roisin Dubh,
04-28-2015,Liverpool,England,The Kazimier,with Man of Moon - review + photos
04-27-2015,Cardiff,England,The Globe,with Man of Moon
04-25-2015,Newcastle,England,The Cluny,with Man of Moon - badlands - january - hit single - prossy - drown - mooth - hoose - nowheres - shoplift - photos + setlist - review + photos - review #2 + photos - self review of gig by James
04-24-2015,Wakefield,England,The Hop,with Man of Moon and Big Love
04-23-2015,York,England,Fibbers,with Man of Moon and Kasiuss
04-22-2015,Leicester,England,The Cookie Jar,with Man of Moon - review
04-21-2015,Bristol,England,The Fleece,with Man of Moon - video: sheepdug - photos
04-20-2015,London,England,Scala,with Man of Moon - video: hit single - in nowheres - sheepdug - review - review + photo
04-18-2015,Arlon,Belgium,L'Entrepot,video: january - drown - shoplift - proper f - sheepdug - photos
04-17-2015,Paris,France,Le Pop Up Du Label,video: january - drown - hit single - shoplift + nil - proper f - photos - review + photos
04-16-2015,Bordeaux,France,I.Boat,with Only Real - video: badlands
04-14-2015,Madrid,Spain,Moby Dick Club,video: rabbit
04-13-2015,Barcelona,Spain,Becool,video: wrong car
04-11-2015,Le Locle,Switzerland,Le Lux,with Killbody tuning - photos
04-10-2015,Zürich,Switzerland,Kinski Klub,review + photo
04-09-2015,Luzen,Switzerland,Konzerthaus Schüür,video: shoplift - photos
04-08-2015,Milan,Italy,Biko,
04-07-2015,Bologna,Italy,Locomotiv Club,with Naughty Betsy - review + photos
04-05-2015,Vienna,Austria,B72,video: badlands - january - drown
04-04-2015,Berlin,Germany,Privatclub,
04-03-2015,Copenhagen,Denmark,Loppen,video: prossy - rabbit
04-01-2015,Stockholm,Sweden,Lilla hotellbaren,video: last january - prossy - pengweng - nil - rabbit - review + photo
03-29-2015,Aarhus,Denmark,VoxHall,
03-28-2015,Hamburg,Germany,Kleiner Donner,
03-27-2015,Cologne,Germany,Gebäude 9,review + photos
03-26-2015,Utrecht,Netherlands,Ekko,with Gifter - review + photos
03-25-2015,Amsterdam,Netherlands,Paradiso,review + photos
03-20-2015,"Austin, TX",USA,Red 7,"SXSW 2015, Flower Booking Official Showcase"
03-20-2015,"Austin, TX",USA,Home Slice Pizza,"SXSW 2015, Home Slice Party"
03-19-2015,"Austin, TX",USA,Emo's,"SXSW 2015, Free Showcase - video: full performance - photos - more photos"
03-19-2015,"Austin, TX",USA,Latitude 30,"SXSW 2015, British Music Embassy Party"
03-19-2015,"Austin, TX",USA,Cheer Up Charlie's,"SXSW 2015, Flower Booking & AV Club Party - video: last january - prossy - article + photos"
03-15-2015,"Austin, TX",USA,Fair Market,SXSW 2015
03-14-2015,"Phoenix, AZ",USA,VivaPHX,with/Port St. Willow - video: shoplift (acoustic)
03-13-2015,"San Diego, CA",USA,The Merrow,with/Port St. Willow - video: wrong car (incomplete) - rabbit - photos + audio
03-12-2015,"Costa Mesa, CA",USA,The Wayfarer,with/Port St. Willow - video: last january - shoplift - proper f - photos
03-11-2015,"San Francisco, CA",USA,Bottom of the Hill,"with/Port St. Willow and Slowness - video: badlands - last january - drown - prossy
 mooth - nowheres - alphabet - nil - sheepdug - wrong car - rabbit"
03-10-2015,"Sacramento, CA",USA,Blue Lamp,with/Port St. Willow and Electro Group - video: hit single
03-08-2015,"Vancouver, BC",Canada,Biltmore Cabaret,with/Port St. Willow - video: drown - prossy - alphabet - review + photos - interview + review + more photos
03-07-2015,"Portland, OR",USA,Doug Fir Lounge,with/Port St. Willow
03-07-2015,"Seattle, WA",USA,The Triple Door,KEXP Session - audio (full performance) - video: full performance - photos
03-06-2015,"Seattle, WA",USA,Tractor Tavern,with/Port St. Willow - photos
03-05-2015,"Missoula, MT",USA,Stage 112,with/Port St. Willow
03-03-2015,"Fargo, ND",USA,The Aquarium,with/Port St. Willow and the Alleles
03-02-2015,"Minneapolis, MN",USA,7th Street Entry,with/Port St. Willow - review + photos
02-28-2015,"Chicago, IL",USA,The Beat Kitchen,with/Port St. Willow and Magical Beautiful - video: hit single (incomplete) - nowheres
02-27-2015,"Pittsburgh, PA",USA,Brillobox,with/Port St. Willow
02-26-2015,"Washington, DC",USA,Rock & Roll Hotel,with/Port St. Willow - review + photos
02-25-2015,"Philadelphia, PA",USA,The Boot & Saddle,with/Port St. Willow - video: drown (incomplete) - nowheres - review + photos
