date,city,country,venue,details
02-23-2013,Edinburgh,Scotland,The Electric Circus,with Adam Thompson (We Were Promised Jetpacks) Stripped back set - video: hit single - 80's - emily - rabbit wrong car - sheepdug - review + photo
02-02-2013,Thessalonki,Greece,Gaia Live Club Ladadika,with Grain of Sense - review + photos
02-01-2013,Larisa,Greece,Stage Club,with Phase
01-31-2013,Athens,Greece,Kookoo Club,"with Nalyssa Green - video: hit single - don't move - dead city - alphabet 
 sheepdug + rabbit - photos - more photos"
12-19-2012,Glasgow,Scotland,Bar Bloc,with Ryan Clark (Three Blind Wolves) and RM Hubbert - Slow Fest 2012 (acoustic set) - video: sheepdug - emily
12-15-2012,Glasgow,Scotland,Barrowlands,"with We Were Promised Jetpacks and Holy Mountain - video: kill it - don't move 
 dead city - 80's - sick - nil - sheepdug - review + photos - review #2 + photo"
11-20-2012,"Allston, MA",USA,Great Scott,with Errors - video: dead city - alphabet - nil - at the burnside
11-18-2012,"Toronto, ON",Canada,Horseshoe Tavern,with Errors
11-17-2012,"Cleveland, OH",USA,Grog Shop,"with Errors, The Nights and In Silent Movies"
11-16-2012,"Chicago, IL",USA,Empty Bottle,with Errors
11-15-2012,"Kansas City, MO",USA,Record Bar,"with Errors - video: don't move - dead city - prossy - downstairs 
 nil - sheepdug - rabbit"
11-14-2012,"Dallas, TX",USA,Club Dada,with Errors and The Calm Blue Sea - video: alphabet
11-13-2012,"Austin, TX",USA,Red 7,with Errors
11-12-2012,"Baton Rouge, LA",USA,Spanish Moon,with Errors - video: sheepdug
11-10-2012,"Atlanta, GA",USA,The Masquerade,with Errors and Attention System
11-09-2012,"Durham, NC",USA,Casbah,with Errors
11-08-2012,"Washington, DC",USA,Rock and Roll Hotel,with Errors and The Orchid
11-07-2012,"Philadelphia, PA",USA,Johnny Brenda's,with Errors
11-06-2012,"Hamden, CT",USA,The Space,with Errors
11-05-2012,"Brooklyn, NY",USA,Music Hall of Williamsburg,with Errors
11-01-2012,Istanbul,Turkey,Babylon,with The Ringo Jets - TV spot
10-27-2012,Preston,England,The Mad Ferret,
